,Share Code,Share Name,Market Code,Market Name,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,  당기순이익(지배),  당기순이익(비지배),자산총계,부채총계,자본총계,  자본총계(지배),  자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2016/12,294630,서남 *,205,에너지장비및서비스,14,-29,-29,-96,-96,-96,,103,35,69,69,,59,-40,-24,69,0,-40,12,-204.10,-671.79,-122.94,-65.08,50.21,17.08,-1914,,980,0.00,0,,0.00,6426850
2017/12,294630,서남 *,205,에너지장비및서비스,50,-14,-14,-69,-69,-69,,85,36,49,49,,69,-17,-7,31,6,-22,12,-27.36,-138.13,-116.17,-72.78,72.80,-38.26,-967,,357,0.00,0,,0.00,13760160
2018/12,294630,서남 *,205,에너지장비및서비스,49,-16,-16,-14,-14,-14,,107,35,71,71,,78,-25,-4,34,3,-28,10,-33.06,-29.86,-24.05,-15.12,49.66,-17.97,-99,,458,0.00,0,,0.00,15560160
2019/12,294630,서남 *,205,에너지장비및서비스,14,-44,-44,-42,-42,-42,,105,45,60,60,,84,-28,-12,35,12,-40,17,-312.46,-298.61,-64.38,-39.81,76.03,-38.85,-260,,357,0.00,,,,16760160
2015/12,038070,서린바이오 *,146,생물공학,416,18,18,22,18,18,-1,661,198,463,453,10,28,41,-42,12,36,5,83,4.22,4.23,4.15,2.78,42.69,1510.90,237,50.57,5810,2.06,95,0.79,40.39,7798559
2016/12,038070,서린바이오 *,146,생물공학,449,22,22,51,42,41,1,665,168,497,486,11,30,28,38,-54,56,-29,42,4.84,9.26,8.67,6.27,33.76,1540.81,522,23.62,6236,1.98,100,0.81,19.05,7798559
2017/12,038070,서린바이오 *,146,생물공학,426,12,12,28,23,21,2,710,182,528,515,13,32,13,-50,24,87,-74,58,2.71,5.32,4.12,3.30,34.54,1509.70,260,38.72,6426,1.57,80,0.80,31.26,8020096
2018/12,038070,서린바이오 *,146,생물공학,499,18,18,34,29,26,3,711,158,553,537,,34,42,4,-42,4,38,17,3.52,5.78,4.99,4.06,28.67,1460.73,326,28.81,6657,1.41,85,0.91,26.25,8079168
2019/12,038070,서린바이오 *,146,생물공학,544,18,18,107,89,89,0,807,194,613,597,,38,73,-29,-37,3,71,3,3.31,16.33,15.67,11.71,31.74,1567.07,1085,7.86,7453,1.14,90,1.06,8.12,8300676
2015/12,006730,서부T&D *,161,"호텔,레스토랑,레저",550,121,121,-113,-132,-132,,8786,4898,3888,3888,,172,-3,-765,765,576,-580,3300,22.05,-24.02,-3.30,-1.52,126.00,2291.60,-239,N/A,7216,1.90,0,0.00,0.00,55221248
2016/12,006730,서부T&D *,161,"호텔,레스토랑,레저",467,110,131,18,28,28,,11099,6574,4525,4525,,172,156,-1554,1378,1404,-1249,4878,23.51,6.02,0.67,0.28,145.26,2307.55,51,227.37,8422,1.38,62,0.54,116.76,55221248
2017/12,006730,서부T&D *,161,"호텔,레스토랑,레저",575,-91,-91,-49,-85,-85,,17363,10704,6659,6659,,236,99,-2571,2776,2060,-1961,7547,-15.81,-14.75,-1.52,-0.60,160.75,2457.29,-152,N/A,11265,1.02,0,0.00,0.00,59258932
2018/12,006730,서부T&D *,161,"호텔,레스토랑,레저",1081,0,0,-65,-104,-104,,17247,10762,6484,6484,,259,360,-279,-285,168,192,7626,-0.01,-9.60,-1.58,-0.60,165.97,2186.37,-175,N/A,11112,0.76,0,0.00,0.00,59258932
2019/12,006730,서부T&D *,161,"호텔,레스토랑,레저",1279,144,144,218,0,0,,18112,11388,6724,6724,,277,376,-316,-84,538,-162,7882,11.29,0.04,0.01,0.00,169.36,2039.58,1,10753.14,11623,0.74,0,0.00,0.00,59258931
2015/12,079650,서산 *,162,건축자재,1130,213,213,221,179,90,89,1104,150,954,617,338,20,266,-54,-3,57,209,,18.82,15.80,15.71,17.95,15.73,2982.57,450,5.40,3083,0.79,20,0.82,4.45,20000000
2016/12,079650,서산 *,162,건축자재,1126,220,220,214,169,88,81,1230,114,1116,700,416,20,182,-93,-7,132,50,,19.51,14.99,13.32,14.46,10.18,3401.15,439,10.99,3501,1.38,25,0.52,5.70,20000000
