,Share Code,Share Name,Market Code,Market Name,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,  당기순이익(지배),  당기순이익(비지배),자산총계,부채총계,자본총계,  자본총계(지배),  자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2019/12,041830,인바디 *,211,건강관리장비와용품,313,50,50,43,33,32,0,1549,151,1398,1397,,68,37,-65,-6,10,28,0,15.82,10.41,15.47,14.24,10.78,2053.85,237,15.84,10502,2.25,140,,57.32,13683782
2020/03,041830,인바디 *,211,건강관리장비와용품,278,56,56,69,49,49,0,1617,189,1428,1427,1,68,57,-64,-14,5,52,0,20.09,17.61,14.80,13.07,13.24,2099.99,361,10.86,10771,1.47,,,0.00,13683782
2020/06,041830,인바디 *,211,건강관리장비와용품,210,4,4,2,4,4,0,1537,149,1388,1386,1,68,21,82,-52,6,16,56,1.92,2.06,10.02,9.03,10.77,2104.78,29,16.15,10642,1.50,,,0.00,13683782
2020/09,041830,인바디 *,211,건강관리장비와용품,293,68,68,66,59,59,0,1620,172,1447,1446,1,68,93,-65,-5,5,88,60,23.32,20.23,10.29,9.21,11.92,2190.95,431,15.01,11100,1.43,,,0.00,13683782
2019/09,352940,인바이오 *,140,화학,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2228960
2019/12,352940,인바이오 *,140,화학,,,,,,,,621,339,283,283,,39,,,,,0,170,,,,,119.78,621.02,,,3633,0.00,0,,,7717850
2020/03,352940,인바이오 *,140,화학,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,7767850
2020/06,352940,인바이오 *,140,화학,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,8405500
2020/09,352940,인바이오 *,140,화학,33,-20,-20,-21,-15,-15,,625,286,339,339,,42,,,,,0,183,-59.75,-46.98,,,84.14,696.74,-183,,4037,0.00,0,,,8405500
2019/09,101140,인바이오젠 ,134,"섬유,의류,신발,호화품",41,-2,-2,154,154,154,,768,175,593,593,,168,56,-50,0,0,55,84,-3.92,371.59,56.19,44.55,29.52,266.63,458,4.34,1819,1.59,0,,0.00,33661591
2019/12,101140,인바이오젠 ,134,"섬유,의류,신발,호화품",26,-17,-17,-79,-79,-79,,909,249,660,660,,198,11,-254,144,2,8,99,-65.96,-304.17,29.38,22.78,37.76,244.82,-213,7.52,1709,1.75,,,0.00,39661591
2020/03,101140,인바이오젠 ,134,"섬유,의류,신발,호화품",14,-10,-10,-11,-11,-11,,840,186,654,654,,198,-15,199,-68,1,-16,88,-68.21,-77.00,27.57,16.85,28.40,239.38,-27,7.73,1695,1.56,0,,,39661591
2020/06,101140,인바이오젠 ,134,"섬유,의류,신발,호화품",31,-6,-6,-64,-64,-64,,851,243,609,609,,206,-19,0,-2,0,-19,90,-17.72,-203.45,0.20,0.13,39.88,206.12,-155,1336.03,1514,2.41,0,,0.00,39661591
2020/09,101140,인바이오젠 ,134,"섬유,의류,신발,호화품",33,-11,-11,-55,-55,-55,,874,291,583,583,,210,-11,-16,-1,0,-11,98,-32.14,-166.54,-35.28,-25.27,49.90,185.63,-131,N/A,1424,2.57,0,,0.00,42006367
2019/09,079950,인베니아 *,199,디스플레이장비및부품,301,15,15,44,44,44,,1681,1176,506,506,,116,-142,-2,123,4,-146,787,4.90,14.47,15.09,4.40,232.48,366.52,187,9.04,2295,1.23,,,0.00,23200000
2019/12,079950,인베니아 *,199,디스플레이장비및부품,434,11,11,-52,-56,-56,,1866,1415,451,451,,116,-195,-66,251,5,-200,1043,2.52,-12.79,2.57,0.68,313.46,319.58,-239,51.13,2048,1.26,,,0.00,23200000
2020/03,079950,인베니아 *,199,디스플레이장비및부품,246,-8,-8,35,35,35,,1581,1095,486,486,,116,278,57,-326,1,277,717,-3.36,14.18,1.84,0.57,225.09,349.52,151,36.83,2206,0.64,,,0.00,23200000
2020/06,079950,인베니아 *,199,디스플레이장비및부품,422,20,20,-15,-20,-20,,1345,878,468,468,,116,26,-4,-60,1,25,657,4.78,-4.82,0.56,0.18,187.65,333.61,-88,143.05,2122,0.76,,,0.00,23200000
2020/09,079950,인베니아 *,199,디스플레이장비및부품,229,-4,-4,-33,-33,-33,,1392,957,435,435,,116,68,2,46,0,68,701,-1.89,-14.29,-15.65,-4.79,220.21,305.17,-141,N/A,1973,1.18,,,0.00,23200000
2019/09,277410,인산가 *,38,식품,75,18,18,17,15,15,0,371,94,277,275,,26,14,4,3,4,11,64,24.43,20.23,9.51,6.55,34.01,935.83,58,17.15,1046,1.51,0,,0.00,26358345
